cluster	cluster_id	synteny	synteny_pos	num_samples	representative	upstream	downstream	feature	feature_alt	gene	gene_alt	product	product_alt	product_clean	name	name_alt	dbxref	dbxref_alt	reference
uncharacterized_protein.84__glyQ	Cluster_3127	1	3127	1	FM211187.4382__FM211187.4385	uncharacterized_protein.84	glyQ	unannotated											FM211187.4382__FM211187.4385
uncharacterized_protein.84	Cluster_3128	1	3128	1	FM211187.4385	aldo/keto_reductase_family_protein__uncharacterized_protein.84	uncharacterized_protein.84__glyQ	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.4385
aldo/keto_reductase_family_protein__uncharacterized_protein.84	Cluster_3129	1	3129	1	FM211187.4385__FM211187.4387	aldo/keto_reductase_family_protein	uncharacterized_protein.84	unannotated											FM211187.4385__FM211187.4387
aldo/keto_reductase_family_protein	Cluster_3130	1	3130	1	FM211187.4387	polysaccharide_deacetylase_family_protein__aldo/keto_reductase_family_protein	aldo/keto_reductase_family_protein__uncharacterized_protein.84	CDS				aldo/keto reductase family protein		aldo/keto_reductase_family_protein	aldo/keto reductase family protein				FM211187.4387
polysaccharide_deacetylase_family_protein__aldo/keto_reductase_family_protein	Cluster_3131	1	3131	1	FM211187.4387__FM211187.4391	polysaccharide_deacetylase_family_protein	aldo/keto_reductase_family_protein	unannotated											FM211187.4387__FM211187.4391
polysaccharide_deacetylase_family_protein	Cluster_3132	1	3132	1	FM211187.4391	polysaccharide_deacetylase_family_protein__Cluster_3134	polysaccharide_deacetylase_family_protein__aldo/keto_reductase_family_protein	CDS				polysaccharide deacetylase family protein		polysaccharide_deacetylase_family_protein	polysaccharide deacetylase family protein				FM211187.4391
polysaccharide_deacetylase_family_protein__Cluster_3134	Cluster_3133	1	3133	1	FM211187.4391__FM211187.4394	polysaccharide_deacetylase_family_protein	Cluster_3134	unannotated											FM211187.4391__FM211187.4394
Cluster_3134	Cluster_3134	1	3134	1	FM211187.4394	polysaccharide_deacetylase_family_protein__Cluster_3134	uncharacterized_protein.85	repeat_region											FM211187.4394
uncharacterized_protein.85	Cluster_3135	1	3135	1	FM211187.4395	uncharacterized_protein.85__oxidoreductase.3	Cluster_3134	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.4395
uncharacterized_protein.85__oxidoreductase.3	Cluster_3136	1	3136	1	FM211187.4395__FM211187.4396	uncharacterized_protein.85	oxidoreductase.3	unannotated											FM211187.4395__FM211187.4396
oxidoreductase.3	Cluster_3137	1	3137	1	FM211187.4396	uncharacterized_protein.85__oxidoreductase.3	RNA_helicase	CDS				putative oxidoreductase		oxidoreductase	putative oxidoreductase				FM211187.4396
RNA_helicase	Cluster_3138	1	3138	1	FM211187.4398	oxidoreductase.3	RNA_helicase__transposase_pseudogene.15	CDS				putative RNA helicase		RNA_helicase	putative RNA helicase				FM211187.4398
RNA_helicase__transposase_pseudogene.15	Cluster_3139	1	3139	1	FM211187.4398__FM211187.4401.1	RNA_helicase	transposase_pseudogene.15	unannotated											FM211187.4398__FM211187.4401.1
transposase_pseudogene.15	Cluster_3140	1	3140	1	FM211187.4401.1	Cluster_3142__transposase_pseudogene.15	RNA_helicase__transposase_pseudogene.15	CDS				putative transposase (pseudogene)		transposase_pseudogene	putative transposase (pseudogene)				FM211187.4401.1
Cluster_3142__transposase_pseudogene.15	Cluster_3141	1	3141	1	FM211187.4401.1__FM211187.4401.2	Cluster_3142	transposase_pseudogene.15	unannotated											FM211187.4401.1__FM211187.4401.2
Cluster_3142	Cluster_3142	1	3142	1	FM211187.4401.2	Cluster_3143	Cluster_3142__transposase_pseudogene.15	CDS											FM211187.4401.2
Cluster_3143	Cluster_3143	1	3143	1	FM211187.4401.3	Cluster_3143__Cluster_3145	Cluster_3142	CDS											FM211187.4401.3
Cluster_3143__Cluster_3145	Cluster_3144	1	3144	1	FM211187.4401.3__FM211187.4402	Cluster_3143	Cluster_3145	unannotated											FM211187.4401.3__FM211187.4402
Cluster_3145	Cluster_3145	1	3145	1	FM211187.4402	Cluster_3143__Cluster_3145	Cluster_3146	repeat_region											FM211187.4402
Cluster_3146	Cluster_3146	1	3146	1	FM211187.4403	Cluster_3145	Cluster_3146__Cluster_3148	repeat_region											FM211187.4403
Cluster_3146__Cluster_3148	Cluster_3147	1	3147	1	FM211187.4403__FM211187.4404	Cluster_3146	Cluster_3148	unannotated											FM211187.4403__FM211187.4404
Cluster_3148	Cluster_3148	1	3148	1	FM211187.4404	Cluster_3148__IS1167_transposase_pseudogene.5	Cluster_3146__Cluster_3148	repeat_region											FM211187.4404
Cluster_3148__IS1167_transposase_pseudogene.5	Cluster_3149	1	3149	1	FM211187.4404__FM211187.4405.1	Cluster_3148	IS1167_transposase_pseudogene.5	unannotated											FM211187.4404__FM211187.4405.1
IS1167_transposase_pseudogene.5	Cluster_3150	1	3150	1	FM211187.4405.1	Cluster_3148__IS1167_transposase_pseudogene.5	Cluster_3151	CDS				putative IS1167 transposase (pseudogene)		IS1167_transposase_pseudogene	putative IS1167 transposase (pseudogene)				FM211187.4405.1
Cluster_3151	Cluster_3151	1	3151	1	FM211187.4405.2	IS1167_transposase_pseudogene.5	Cluster_3151__Cluster_3153	CDS											FM211187.4405.2
Cluster_3151__Cluster_3153	Cluster_3152	1	3152	1	FM211187.4405.2__FM211187.4405.3	Cluster_3151	Cluster_3153	unannotated											FM211187.4405.2__FM211187.4405.3
Cluster_3153	Cluster_3153	1	3153	1	FM211187.4405.3	Cluster_3151__Cluster_3153	Cluster_3153__tufA	CDS											FM211187.4405.3
Cluster_3153__tufA	Cluster_3154	1	3154	1	FM211187.4405.3__FM211187.4407	Cluster_3153	tufA	unannotated											FM211187.4405.3__FM211187.4407
tufA	Cluster_3155	1	3155	1	FM211187.4407	IS1239_transposase.2__tufA	Cluster_3153__tufA	CDS		tufA		elongation factor Tu (EF-Tu)		elongation_factor_Tu_EF-Tu	elongation factor Tu (EF-Tu)				FM211187.4407
IS1239_transposase.2__tufA	Cluster_3156	1	3156	1	FM211187.4407__FM211187.4413	IS1239_transposase.2	tufA	unannotated											FM211187.4407__FM211187.4413
IS1239_transposase.2	Cluster_3157	1	3157	1	FM211187.4413	IS1239_transposase.2__Cluster_3159	IS1239_transposase.2__tufA	CDS				putative IS1239 putative transposase		IS1239_transposase	putative IS1239 putative transposase				FM211187.4413
IS1239_transposase.2__Cluster_3159	Cluster_3158	1	3158	1	FM211187.4413__FM211187.4415.1	IS1239_transposase.2	Cluster_3159	unannotated											FM211187.4413__FM211187.4415.1
Cluster_3159	Cluster_3159	1	3159	1	FM211187.4415.1	IS1239_transposase.2__Cluster_3159	Cluster_3160	repeat_region											FM211187.4415.1
Cluster_3160	Cluster_3160	1	3160	1	FM211187.4416	Cluster_3160__Cluster_3162	Cluster_3159	repeat_region											FM211187.4416
Cluster_3160__Cluster_3162	Cluster_3161	1	3161	1	FM211187.4415.1__FM211187.4415.2	Cluster_3160	Cluster_3162	unannotated											FM211187.4415.1__FM211187.4415.2
Cluster_3162	Cluster_3162	1	3162	1	FM211187.4415.2	Cluster_3160__Cluster_3162	Cluster_3162__Cluster_3164	repeat_region											FM211187.4415.2
Cluster_3162__Cluster_3164	Cluster_3163	1	3163	1	FM211187.4416__FM211187.4417	Cluster_3162	Cluster_3164	unannotated											FM211187.4416__FM211187.4417
Cluster_3164	Cluster_3164	1	3164	1	FM211187.4417	Cluster_3162__Cluster_3164	Cluster_3164__Cluster_3166	repeat_region											FM211187.4417
Cluster_3164__Cluster_3166	Cluster_3165	1	3165	1	FM211187.4417__FM211187.4418	Cluster_3164	Cluster_3166	unannotated											FM211187.4417__FM211187.4418
Cluster_3166	Cluster_3166	1	3166	1	FM211187.4418	Cluster_3168__Cluster_3166	Cluster_3164__Cluster_3166	repeat_region											FM211187.4418
Cluster_3168__Cluster_3166	Cluster_3167	1	3167	1	FM211187.4418__FM211187.4419	Cluster_3168	Cluster_3166	unannotated											FM211187.4418__FM211187.4419
Cluster_3168	Cluster_3168	1	3168	1	FM211187.4419	gla__Cluster_3168	Cluster_3168__Cluster_3166	repeat_region											FM211187.4419
gla__Cluster_3168	Cluster_3169	1	3169	1	FM211187.4419__FM211187.4420	gla	Cluster_3168	unannotated											FM211187.4419__FM211187.4420
gla	Cluster_3170	1	3170	1	FM211187.4420	sortase-sorted_surface_anchored_protein_pseudogene__gla	gla__Cluster_3168	CDS		gla		glycerol facilitator-aquaporin		glycerol_facilitator-aquaporin	glycerol facilitator-aquaporin				FM211187.4420
sortase-sorted_surface_anchored_protein_pseudogene__gla	Cluster_3171	1	3171	1	FM211187.4420__FM211187.4424.1	sortase-sorted_surface_anchored_protein_pseudogene	gla	unannotated											FM211187.4420__FM211187.4424.1
sortase-sorted_surface_anchored_protein_pseudogene	Cluster_3172	1	3172	1	FM211187.4424.1	Cluster_3173	sortase-sorted_surface_anchored_protein_pseudogene__gla	CDS				putative sortase-sorted surface anchored protein (pseudogene)		sortase-sorted_surface_anchored_protein_pseudogene	putative sortase-sorted surface anchored protein (pseudogene)				FM211187.4424.1
Cluster_3173	Cluster_3173	1	3173	1	FM211187.4424.2	uncharacterized_protein.86__Cluster_3173	sortase-sorted_surface_anchored_protein_pseudogene	CDS											FM211187.4424.2
uncharacterized_protein.86__Cluster_3173	Cluster_3174	1	3174	1	FM211187.4424.2__FM211187.4428	uncharacterized_protein.86	Cluster_3173	unannotated											FM211187.4424.2__FM211187.4428
uncharacterized_protein.86	Cluster_3175	1	3175	1	FM211187.4428	transposase_pseudogene.16__uncharacterized_protein.86	uncharacterized_protein.86__Cluster_3173	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.4428
transposase_pseudogene.16__uncharacterized_protein.86	Cluster_3176	1	3176	1	FM211187.4428__FM211187.4429.1	transposase_pseudogene.16	uncharacterized_protein.86	unannotated											FM211187.4428__FM211187.4429.1
transposase_pseudogene.16	Cluster_3177	1	3177	1	FM211187.4429.1	Cluster_3178	transposase_pseudogene.16__uncharacterized_protein.86	CDS				putative transposase (pseudogene)		transposase_pseudogene	putative transposase (pseudogene)				FM211187.4429.1
Cluster_3178	Cluster_3178	1	3178	1	FM211187.4429.2	Cluster_3179	transposase_pseudogene.16	CDS											FM211187.4429.2
Cluster_3179	Cluster_3179	1	3179	1	FM211187.4429.3	Cluster_3179__pgmA	Cluster_3178	CDS											FM211187.4429.3
Cluster_3179__pgmA	Cluster_3180	1	3180	1	FM211187.4429.3__FM211187.4431	Cluster_3179	pgmA	unannotated											FM211187.4429.3__FM211187.4431
pgmA	Cluster_3181	1	3181	1	FM211187.4431	Cluster_3179__pgmA	pgmA__conserved_protein.90	CDS		pgmA		putative phosphomannomutase		phosphomannomutase	putative phosphomannomutase				FM211187.4431
pgmA__conserved_protein.90	Cluster_3182	1	3182	1	FM211187.4431__FM211187.4437	pgmA	conserved_protein.90	unannotated											FM211187.4431__FM211187.4437
conserved_protein.90	Cluster_3183	1	3183	1	FM211187.4437	pgmA__conserved_protein.90	conserved_protein.90__Cluster_3185	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.4437
conserved_protein.90__Cluster_3185	Cluster_3184	1	3184	1	FM211187.4437__FM211187.4438	conserved_protein.90	Cluster_3185	unannotated											FM211187.4437__FM211187.4438
Cluster_3185	Cluster_3185	1	3185	1	FM211187.4438	amino_acid_ABC_transporterextracellular_amino_acid__Cluster_3185	conserved_protein.90__Cluster_3185	repeat_region											FM211187.4438
amino_acid_ABC_transporterextracellular_amino_acid__Cluster_3185	Cluster_3186	1	3186	1	FM211187.4438__FM211187.4439	amino_acid_ABC_transporterextracellular_amino_acid	Cluster_3185	unannotated											FM211187.4438__FM211187.4439
amino_acid_ABC_transporterextracellular_amino_acid	Cluster_3187	1	3187	1	FM211187.4439	amino_acid_ABC_transporter_ATP-binding_protein__amino_acid_ABC_transporterextracellular_amino_acid	amino_acid_ABC_transporterextracellular_amino_acid__Cluster_3185	CDS				putative amino acid ABC transporter,extracellular amino acid-binding protein		amino_acid_ABC_transporterextracellular_amino_acid	putative amino acid ABC transporter,extracellular amino acid-binding protein				FM211187.4439
amino_acid_ABC_transporter_ATP-binding_protein__amino_acid_ABC_transporterextracellular_amino_acid	Cluster_3188	1	3188	1	FM211187.4439__FM211187.4443	amino_acid_ABC_transporter_ATP-binding_protein	amino_acid_ABC_transporterextracellular_amino_acid	unannotated											FM211187.4439__FM211187.4443
amino_acid_ABC_transporter_ATP-binding_protein	Cluster_3189	1	3189	1	FM211187.4443	amino_acid_ABC_transporter_permease_protein.4__amino_acid_ABC_transporter_ATP-binding_protein	amino_acid_ABC_transporter_ATP-binding_protein__amino_acid_ABC_transporterextracellular_amino_acid	CDS				putative amino acid ABC transporter ATP-binding protein		amino_acid_ABC_transporter_ATP-binding_protein	putative amino acid ABC transporter ATP-binding protein				FM211187.4443
amino_acid_ABC_transporter_permease_protein.4__amino_acid_ABC_transporter_ATP-binding_protein	Cluster_3190	1	3190	1	FM211187.4443__FM211187.4447	amino_acid_ABC_transporter_permease_protein.4	amino_acid_ABC_transporter_ATP-binding_protein	unannotated											FM211187.4443__FM211187.4447
amino_acid_ABC_transporter_permease_protein.4	Cluster_3191	1	3191	1	FM211187.4447	conserved_protein.91__amino_acid_ABC_transporter_permease_protein.4	amino_acid_ABC_transporter_permease_protein.4__amino_acid_ABC_transporter_ATP-binding_protein	CDS				putative amino acid ABC transporter permease protein		amino_acid_ABC_transporter_permease_protein	putative amino acid ABC transporter permease protein				FM211187.4447
conserved_protein.91__amino_acid_ABC_transporter_permease_protein.4	Cluster_3192	1	3192	1	FM211187.4447__FM211187.4450	conserved_protein.91	amino_acid_ABC_transporter_permease_protein.4	unannotated											FM211187.4447__FM211187.4450
conserved_protein.91	Cluster_3193	1	3193	1	FM211187.4450	membrane_protein.85	conserved_protein.91__amino_acid_ABC_transporter_permease_protein.4	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.4450
membrane_protein.85	Cluster_3194	1	3194	1	FM211187.4452	membrane_protein.85__conserved_protein.92	conserved_protein.91	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.4452
membrane_protein.85__conserved_protein.92	Cluster_3195	1	3195	1	FM211187.4452__FM211187.4455	membrane_protein.85	conserved_protein.92	unannotated											FM211187.4452__FM211187.4455
conserved_protein.92	Cluster_3196	1	3196	1	FM211187.4455	membrane_protein.85__conserved_protein.92	conserved_protein.92__atpC	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.4455
conserved_protein.92__atpC	Cluster_3197	1	3197	1	FM211187.4455__FM211187.4456	conserved_protein.92	atpC	unannotated											FM211187.4455__FM211187.4456
atpC	Cluster_3198	1	3198	1	FM211187.4456	atpD__atpC	conserved_protein.92__atpC	CDS		atpC		ATP synthase epsilon chain		ATP_synthase_epsilon_chain	ATP synthase epsilon chain				FM211187.4456
atpD__atpC	Cluster_3199	1	3199	1	FM211187.4456__FM211187.4459	atpD	atpC	unannotated											FM211187.4456__FM211187.4459
atpD	Cluster_3200	1	3200	1	FM211187.4459	atpG__atpD	atpD__atpC	CDS		atpD		ATP synthase beta chain		ATP_synthase_beta_chain	ATP synthase beta chain				FM211187.4459
atpG__atpD	Cluster_3201	1	3201	1	FM211187.4459__FM211187.4465	atpG	atpD	unannotated											FM211187.4459__FM211187.4465
atpG	Cluster_3202	1	3202	1	FM211187.4465	atpA__atpG	atpG__atpD	CDS		atpG		ATP synthase gamma chain		ATP_synthase_gamma_chain	ATP synthase gamma chain				FM211187.4465
atpA__atpG	Cluster_3203	1	3203	1	FM211187.4465__FM211187.4468	atpA	atpG	unannotated											FM211187.4465__FM211187.4468
atpA	Cluster_3204	1	3204	1	FM211187.4468	atpH__atpA	atpA__atpG	CDS		atpA		ATP synthase alpha chain		ATP_synthase_alpha_chain	ATP synthase alpha chain				FM211187.4468
atpH__atpA	Cluster_3205	1	3205	1	FM211187.4468__FM211187.4474	atpH	atpA	unannotated											FM211187.4468__FM211187.4474
atpH	Cluster_3206	1	3206	1	FM211187.4474	atpF	atpH__atpA	CDS		atpH		putative ATP synthase delta chain		ATP_synthase_delta_chain	putative ATP synthase delta chain				FM211187.4474
atpF	Cluster_3207	1	3207	1	FM211187.4476	atpB__atpF	atpH	CDS		atpF		ATP synthase B chain		ATP_synthase_B_chain	ATP synthase B chain				FM211187.4476
atpB__atpF	Cluster_3208	1	3208	1	FM211187.4476__FM211187.4479	atpB	atpF	unannotated											FM211187.4476__FM211187.4479
atpB	Cluster_3209	1	3209	1	FM211187.4479	atpE__atpB	atpB__atpF	CDS		atpB		ATP synthase A chain		ATP_synthase_A_chain	ATP synthase A chain				FM211187.4479
atpE__atpB	Cluster_3210	1	3210	1	FM211187.4479__FM211187.4482	atpE	atpB	unannotated											FM211187.4479__FM211187.4482
atpE	Cluster_3211	1	3211	1	FM211187.4482	insertion_sequence_IS1239_transposase.1__atpE	atpE__atpB	CDS		atpE		ATP synthase C chain		ATP_synthase_C_chain	ATP synthase C chain				FM211187.4482
insertion_sequence_IS1239_transposase.1__atpE	Cluster_3212	1	3212	1	FM211187.4482__FM211187.4486	insertion_sequence_IS1239_transposase.1	atpE	unannotated											FM211187.4482__FM211187.4486
insertion_sequence_IS1239_transposase.1	Cluster_3213	1	3213	1	FM211187.4486	acetyltransferase.3__insertion_sequence_IS1239_transposase.1	insertion_sequence_IS1239_transposase.1__atpE	CDS				insertion sequence IS1239 putative transposase		insertion_sequence_IS1239_transposase	insertion sequence IS1239 putative transposase				FM211187.4486
acetyltransferase.3__insertion_sequence_IS1239_transposase.1	Cluster_3214	1	3214	1	FM211187.4486__FM211187.4488	acetyltransferase.3	insertion_sequence_IS1239_transposase.1	unannotated											FM211187.4486__FM211187.4488
acetyltransferase.3	Cluster_3215	1	3215	1	FM211187.4488	Cluster_3216	acetyltransferase.3__insertion_sequence_IS1239_transposase.1	CDS				putative acetyltransferase		acetyltransferase	putative acetyltransferase				FM211187.4488
Cluster_3216	Cluster_3216	1	3216	1	FM211187.4490	Cluster_3218__Cluster_3216	acetyltransferase.3	repeat_region											FM211187.4490
Cluster_3218__Cluster_3216	Cluster_3217	1	3217	1	FM211187.4490__FM211187.4491	Cluster_3218	Cluster_3216	unannotated											FM211187.4490__FM211187.4491
Cluster_3218	Cluster_3218	1	3218	1	FM211187.4491	Cluster_3219	Cluster_3218__Cluster_3216	repeat_region											FM211187.4491
Cluster_3219	Cluster_3219	1	3219	1	FM211187.4492	Cluster_3220	Cluster_3218	repeat_region											FM211187.4492
Cluster_3220	Cluster_3220	1	3220	1	FM211187.4493	greA__Cluster_3220	Cluster_3219	repeat_region											FM211187.4493
greA__Cluster_3220	Cluster_3221	1	3221	1	FM211187.4493__FM211187.4494	greA	Cluster_3220	unannotated											FM211187.4493__FM211187.4494
greA	Cluster_3222	1	3222	1	FM211187.4494	aminodeoxychorismate_lyase__greA	greA__Cluster_3220	CDS		greA		transcription elongation factor		transcription_elongation_factor	transcription elongation factor				FM211187.4494
aminodeoxychorismate_lyase__greA	Cluster_3223	1	3223	1	FM211187.4494__FM211187.4498	aminodeoxychorismate_lyase	greA	unannotated											FM211187.4494__FM211187.4498
aminodeoxychorismate_lyase	Cluster_3224	1	3224	1	FM211187.4498	acetyltransferase_GNAT_family_protein.14__aminodeoxychorismate_lyase	aminodeoxychorismate_lyase__greA	CDS				putative aminodeoxychorismate lyase		aminodeoxychorismate_lyase	putative aminodeoxychorismate lyase				FM211187.4498
acetyltransferase_GNAT_family_protein.14__aminodeoxychorismate_lyase	Cluster_3225	1	3225	1	FM211187.4498__FM211187.4501	acetyltransferase_GNAT_family_protein.14	aminodeoxychorismate_lyase	unannotated											FM211187.4498__FM211187.4501
acetyltransferase_GNAT_family_protein.14	Cluster_3226	1	3226	1	FM211187.4501	acetyltransferase_gnat_family_protein._acetyltrans	acetyltransferase_GNAT_family_protein.14__aminodeoxychorismate_lyase	CDS				acetyltransferase (GNAT) family protein		acetyltransferase_GNAT_family_protein	acetyltransferase (GNAT) family protein				FM211187.4501
acetyltransferase_gnat_family_protein._acetyltrans	Cluster_3227	1	3227	1	FM211187.4503	murC__acetyltransferase_gnat_family_protein._acetyltrans	acetyltransferase_GNAT_family_protein.14	CDS				acetyltransferase, gnat family protein. acetyltransferase, gnat family protein		acetyltransferase_gnat_family_protein._acetyltrans	acetyltransferase, gnat family protein. acetyltransferase, gnat family protein				FM211187.4503
murC__acetyltransferase_gnat_family_protein._acetyltrans	Cluster_3228	1	3228	1	FM211187.4503__FM211187.4505	murC	acetyltransferase_gnat_family_protein._acetyltrans	unannotated											FM211187.4503__FM211187.4505
murC	Cluster_3229	1	3229	1	FM211187.4505	ATP-binding_protein.2__murC	murC__acetyltransferase_gnat_family_protein._acetyltrans	CDS		murC		UDP-N-acetylmuramate--alanine ligase		UDP-N-acetylmuramate--alanine_ligase	UDP-N-acetylmuramate--alanine ligase				FM211187.4505
ATP-binding_protein.2__murC	Cluster_3230	1	3230	1	FM211187.4505__FM211187.4509	ATP-binding_protein.2	murC	unannotated											FM211187.4505__FM211187.4509
ATP-binding_protein.2	Cluster_3231	1	3231	1	FM211187.4509	SNF-family_helicase__ATP-binding_protein.2	ATP-binding_protein.2__murC	CDS				putative ATP-binding protein		ATP-binding_protein	putative ATP-binding protein				FM211187.4509
SNF-family_helicase__ATP-binding_protein.2	Cluster_3232	1	3232	1	FM211187.4509__FM211187.4511	SNF-family_helicase	ATP-binding_protein.2	unannotated											FM211187.4509__FM211187.4511
SNF-family_helicase	Cluster_3233	1	3233	1	FM211187.4511	aminotransferase.2__SNF-family_helicase	SNF-family_helicase__ATP-binding_protein.2	CDS				putative SNF-family helicase		SNF-family_helicase	putative SNF-family helicase				FM211187.4511
aminotransferase.2__SNF-family_helicase	Cluster_3234	1	3234	1	FM211187.4511__FM211187.4517	aminotransferase.2	SNF-family_helicase	unannotated											FM211187.4511__FM211187.4517
aminotransferase.2	Cluster_3235	1	3235	1	FM211187.4517	cystathionine_beta-lyase__aminotransferase.2	aminotransferase.2__SNF-family_helicase	CDS				putative aminotransferase		aminotransferase	putative aminotransferase				FM211187.4517
cystathionine_beta-lyase__aminotransferase.2	Cluster_3236	1	3236	1	FM211187.4517__FM211187.4519	cystathionine_beta-lyase	aminotransferase.2	unannotated											FM211187.4517__FM211187.4519
cystathionine_beta-lyase	Cluster_3237	1	3237	1	FM211187.4519	ABC_transporter_ATP-binding_protein.21__cystathionine_beta-lyase	cystathionine_beta-lyase__aminotransferase.2	CDS				putative cystathionine beta-lyase		cystathionine_beta-lyase	putative cystathionine beta-lyase				FM211187.4519
ABC_transporter_ATP-binding_protein.21__cystathionine_beta-lyase	Cluster_3238	1	3238	1	FM211187.4519__FM211187.4522	ABC_transporter_ATP-binding_protein.21	cystathionine_beta-lyase	unannotated											FM211187.4519__FM211187.4522
ABC_transporter_ATP-binding_protein.21	Cluster_3239	1	3239	1	FM211187.4522	Cluster_3241__ABC_transporter_ATP-binding_protein.21	ABC_transporter_ATP-binding_protein.21__cystathionine_beta-lyase	CDS				ABC transporter ATP-binding protein		ABC_transporter_ATP-binding_protein	ABC transporter ATP-binding protein				FM211187.4522
Cluster_3241__ABC_transporter_ATP-binding_protein.21	Cluster_3240	1	3240	1	FM211187.4522__FM211187.4529	Cluster_3241	ABC_transporter_ATP-binding_protein.21	unannotated											FM211187.4522__FM211187.4529
Cluster_3241	Cluster_3241	1	3241	1	FM211187.4529	extracellular_oligopeptide-binding_protein.2__Cluster_3241	Cluster_3241__ABC_transporter_ATP-binding_protein.21	repeat_region											FM211187.4529
extracellular_oligopeptide-binding_protein.2__Cluster_3241	Cluster_3242	1	3242	1	FM211187.4529__FM211187.4530	extracellular_oligopeptide-binding_protein.2	Cluster_3241	unannotated											FM211187.4529__FM211187.4530
extracellular_oligopeptide-binding_protein.2	Cluster_3243	1	3243	1	FM211187.4530	polysaccharide_biosynthesis_protein.2__extracellular_oligopeptide-binding_protein.2	extracellular_oligopeptide-binding_protein.2__Cluster_3241	CDS				putative extracellular oligopeptide-binding protein		extracellular_oligopeptide-binding_protein	putative extracellular oligopeptide-binding protein				FM211187.4530
polysaccharide_biosynthesis_protein.2__extracellular_oligopeptide-binding_protein.2	Cluster_3244	1	3244	1	FM211187.4530__FM211187.4535	polysaccharide_biosynthesis_protein.2	extracellular_oligopeptide-binding_protein.2	unannotated											FM211187.4530__FM211187.4535
polysaccharide_biosynthesis_protein.2	Cluster_3245	1	3245	1	FM211187.4535	polysaccharide_biosynthesis_protein.2__murE	polysaccharide_biosynthesis_protein.2__extracellular_oligopeptide-binding_protein.2	CDS				putative polysaccharide biosynthesis protein		polysaccharide_biosynthesis_protein	putative polysaccharide biosynthesis protein				FM211187.4535
polysaccharide_biosynthesis_protein.2__murE	Cluster_3246	1	3246	1	FM211187.4535__FM211187.4538	polysaccharide_biosynthesis_protein.2	murE	unannotated											FM211187.4535__FM211187.4538
murE	Cluster_3247	1	3247	1	FM211187.4538	polysaccharide_biosynthesis_protein.2__murE	murE__CsbD-like_protein.1	CDS		murE		UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia minopimelate ligase		UDP-N-acetylmuramoylalanyl-D-glutamate--26-dia_min	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia minopimelate ligase				FM211187.4538
murE__CsbD-like_protein.1	Cluster_3248	1	3248	1	FM211187.4538__FM211187.4541	murE	CsbD-like_protein.1	unannotated											FM211187.4538__FM211187.4541
CsbD-like_protein.1	Cluster_3249	1	3249	1	FM211187.4541	conserved_protein.93__CsbD-like_protein.1	murE__CsbD-like_protein.1	CDS				CsbD-like protein		CsbD-like_protein	CsbD-like protein				FM211187.4541
conserved_protein.93__CsbD-like_protein.1	Cluster_3250	1	3250	1	FM211187.4541__FM211187.4543	conserved_protein.93	CsbD-like_protein.1	unannotated											FM211187.4541__FM211187.4543
conserved_protein.93	Cluster_3251	1	3251	1	FM211187.4543	uncharacterized_protein.87__conserved_protein.93	conserved_protein.93__CsbD-like_protein.1	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.4543
uncharacterized_protein.87__conserved_protein.93	Cluster_3252	1	3252	1	FM211187.4543__FM211187.4547	uncharacterized_protein.87	conserved_protein.93	unannotated											FM211187.4543__FM211187.4547
uncharacterized_protein.87	Cluster_3253	1	3253	1	FM211187.4547	ppaC__uncharacterized_protein.87	uncharacterized_protein.87__conserved_protein.93	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.4547
ppaC__uncharacterized_protein.87	Cluster_3254	1	3254	1	FM211187.4547__FM211187.4548	ppaC	uncharacterized_protein.87	unannotated											FM211187.4547__FM211187.4548
ppaC	Cluster_3255	1	3255	1	FM211187.4548	conserved_protein.94__ppaC	ppaC__uncharacterized_protein.87	CDS		ppaC		manganese-dependent inorganic pyrophosphatase		manganese-dependent_inorganic_pyrophosphatase	manganese-dependent inorganic pyrophosphatase				FM211187.4548
conserved_protein.94__ppaC	Cluster_3256	1	3256	1	FM211187.4548__FM211187.4551	conserved_protein.94	ppaC	unannotated											FM211187.4548__FM211187.4551
conserved_protein.94	Cluster_3257	1	3257	1	FM211187.4551	conserved_protein.95	conserved_protein.94__ppaC	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.4551
conserved_protein.95	Cluster_3258	1	3258	1	FM211187.4553	S1_RNA_binding_domain_protein__conserved_protein.95	conserved_protein.94	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.4553
S1_RNA_binding_domain_protein__conserved_protein.95	Cluster_3259	1	3259	1	FM211187.4553__FM211187.4556	S1_RNA_binding_domain_protein	conserved_protein.95	unannotated											FM211187.4553__FM211187.4556
